"Issue #","Title","State","Author","Assignees","Type labels","Milestone","Created","Commented","Total comments","Positive reactions","Negative reactions","Participants"
113,"[dhctl] Check that conrtol-plane nodes are Ready more precisely","OPEN","nabokihms","name212","enhancement","v1.29.0","2021-09-01","2021-09-20",1,0,0,3
114,"[control-plane-manager][dhctl] Rename master node group to control-plane","OPEN","nabokihms","","refactoring",,"2021-09-01","",0,0,0,1
115,"[prometheus] Add support for remote_write.tls_config.insecure_skip_verify","CLOSED","nabokihms","31337Ghost","enhancement","v1.25.0","2021-09-01","2021-09-09",1,0,0,3
116,"Admin Role does not have access to ResourceQuotas","CLOSED","zuzzas","gyrter","feature-request","v1.25.0","2021-09-01","",0,0,0,3
117,"[prometheus] Add alert about prometheus-longterm scrape fails","CLOSED","nabokihms","zuzzas","enhancement","v1.26.0","2021-09-01","2021-09-27",1,0,0,4
118,"Service "".spec.loadBalancerSourceRanges"" has no effect in the AWS cloud while creating or updating NLBs","CLOSED","zuzzas","zuzzas","bug","v1.26.0","2021-09-01","2021-09-17",2,0,0,3
119,"[dhctl] Saving terraform state in cache with StateSaver in bootstrap, abort and destroy","CLOSED","name212","","refactoring","v1.27.0","2021-09-01","2021-11-15",1,0,0,4
120,"[dhctl] Remove tomb callbacks after normally execution","OPEN","name212","","bug",,"2021-09-01","",0,0,0,1
121,"[flant-integration] Add abbility to disable madisonAlerts","CLOSED","gyrter","31337Ghost","enhancement","v1.26.0","2021-09-02","2021-09-17",1,0,0,4
122,"[log-shipper] Vector has big reloading interval under high load ","OPEN","gyrter","","enhancement",,"2021-09-02","",0,0,0,2
123,"[log-shipper] Vector patches need refactoring","OPEN","gyrter","","enhancement",,"2021-09-02","2021-11-17",1,0,0,2
124,"[log-shipper] filter logs","CLOSED","nabokihms","gyrter","enhancement","v1.26.0","2021-09-02","2021-09-17",1,0,0,3
125,"[log-shipper] Inject labels from message","CLOSED","nabokihms","gyrter","enhancement","v1.26.0","2021-09-02","2021-09-27",1,0,0,4
126,"Use container registry to distribute required software on Kubernetes nodes","CLOSED","konstantin-axenov","RomanenkoDenys","enhancement","v1.25.0","2021-09-02","2021-09-10",1,0,0,2
127,"[log-shipper] Multiline","CLOSED","nabokihms","gyrter","enhancement",,"2021-09-02","",0,0,0,3
128,"Add vSphere to Getting Started","CLOSED","konstantin-axenov","zuzzas","","v1.26.0","2021-09-02","2021-10-01",1,0,0,4
129,"[upmeter] Golang refactoring","CLOSED","nabokihms","shvgn","refactoring","v1.26.0","2021-09-02","2021-10-19",1,0,0,3
130,"[prometheus-metrics-adapter] Golang refactoring","CLOSED","nabokihms","name212","refactoring","v1.26.0","2021-09-02","2021-10-19",1,0,0,3
131,"[global] Migrate to go 1.16","CLOSED","nabokihms","diafour","refactoring","v1.26.0","2021-09-02","",0,0,0,4
132,"[deckhouse] Improve startup speed","CLOSED","nabokihms","yalosev","bug","v1.26.0","2021-09-02","2021-09-27",1,0,0,3
133,"[cert-manager] Default issuer is not configured","CLOSED","gyrter","gyrter","enhancement","v1.26.0","2021-09-02","",0,0,0,3
134,"CIS Benchmark","CLOSED","yalosev","RomanenkoDenys","","v1.26.0","2021-09-03","2021-10-19",1,0,0,4
135,"K8s FakeClient: RestClient is absent","OPEN","yalosev","","enhancement",,"2021-09-03","",0,0,0,2
136,"[cert-manager] Add liveness probe to cert-manager Deployment and Webhook","CLOSED","konstantin-axenov","shvgn","bug","v1.26.0","2021-09-03","2021-09-27",1,0,0,3
137,"[deckhouse] Installation on managed Kubernetes","OPEN","Nitive","z9r5","enhancement","v1.29.0","2021-09-05","2021-10-01",1,7,0,8
138,"Provide a friendly UX for offline PVC resize","OPEN","31337Ghost","","enhancement",,"2021-09-06","",0,0,0,2
139,"[prometheus] expose Prometheus external labels (instance and replica name) at least for remote_writes ","OPEN","31337Ghost","","enhancement",,"2021-09-06","2021-09-23",1,2,0,3
140,"[ingress-istio] native ingress module for istio","OPEN","apolovov","","feature-request",,"2021-09-06","",0,0,0,2
141,"[docs][monitoring] Translate and refactor alerts and dashboards content","CLOSED","z9r5","z9r5","enhancement",,"2021-09-06","2021-10-19",2,0,0,2
142,"[node-manager] Get rid of node_lease_handler hook","CLOSED","apolovov","RomanenkoDenys","enhancement","v1.27.0","2021-09-07","2021-11-18",1,0,0,4
143,"[bashible] render bootstrap with bashible-apiserver","OPEN","RomanenkoDenys","","enhancement",,"2021-09-08","",0,0,0,2
144,"[kubernetes-api-proxy] refactor to haproxy with health checks and circuit breaker","OPEN","31337Ghost","","refactoring",,"2021-09-08","",0,0,0,2
145,"[log-shipper] Add VPA limit for vector-agent","CLOSED","gyrter","gyrter","enhancement","v1.26.0","2021-09-08","2021-09-15",1,0,0,4
146,"[docs][getting-started] Add ssh params for 'bootstrap-phase abort' command after release 1.25","CLOSED","name212","name212","enhancement","v1.27.0","2021-09-08","2021-11-18",1,0,0,3
147,"[log-shipper] Vector can panic on config reload","OPEN","gyrter","","bug",,"2021-09-08","",0,0,0,2
148,"[deckhouse] Provide the way to push all Deckhouse container images to custom registry","CLOSED","nabokihms","name212","feature-request","v1.26.0","2021-09-09","2021-10-22",1,0,0,4
149,"[deckhouse] Updating process","OPEN","nabokihms","","epic",,"2021-09-09","",0,0,0,1
150,"[deckhouse] Add update windows","CLOSED","nabokihms","yalosev","enhancement","v1.26.0","2021-09-09","2021-09-17",1,0,0,3
151,"[deckhouse] Custom changelog","CLOSED","nabokihms","shvgn","enhancement","v1.27.0","2021-09-09","2021-11-18",1,0,0,3
152,"Change KubeEtcdHighNumberOfFailedProposals query?","CLOSED","duckhawk","","enhancement",,"2021-09-09","2021-11-09",2,2,0,5
154,"ServiceMonitors for Grafana and Prometheus do not get created","CLOSED","Nitive","nabokihms","bug","v1.26.0","2021-09-10","2021-09-15",2,3,0,4
155,"[web] Perform SEO and security site audit. Fix issues","OPEN","z9r5","z9r5","enhancement",,"2021-09-10","2021-09-28",2,0,0,2
156,"[linter] Check for non-Latin letters in English docs","OPEN","z9r5","","enhancement",,"2021-09-10","",0,0,0,2
157,"[web] General FAQ","OPEN","z9r5","","enhancement",,"2021-09-10","2021-09-28",2,0,0,3
158,"[web][getting-started] The installation page should not be reloaded after entering an EE token","CLOSED","z9r5","z9r5","bug","v1.26.0","2021-09-12","2021-09-22",1,0,0,3
159,"[web][getting-started] Fix the application of the DNS template","CLOSED","z9r5","z9r5","bug","v1.26.0","2021-09-13","2021-09-17",1,0,0,2
160,"[web] Show .status structure description on the CRD page","OPEN","z9r5","","enhancement",,"2021-09-13","",0,0,0,2
161,"[web] Select the default site language based on the user's geodata","CLOSED","z9r5","z9r5","enhancement","v1.26.0","2021-09-13","2021-09-22",1,0,0,3
162,"[linter][web] Check CRD links format","OPEN","z9r5","","enhancement",,"2021-09-13","",0,0,0,2
163,"[linter][monitoring] check prometheus rules","OPEN","31337Ghost","","enhancement",,"2021-09-13","",0,0,0,3
164,"[cloud-provider-aws] gp3 volume type support","CLOSED","konstantin-axenov","31337Ghost","","v1.26.0","2021-09-13","2021-09-15",1,0,0,2
165,"[global] Validating admission webhooks for custom taints","CLOSED","nabokihms","gyrter","enhancement","v1.26.0","2021-09-13","",0,0,0,3
166,"We need a way to accurately identify all the alerts about futher feature deprecation","OPEN","EvgenySamoylov","","enhancement",,"2021-09-13","",0,0,0,2
167,"Update kernel to the latest version. Implement automated tracking for new Linux distribution package versions.","OPEN","zuzzas","","feature-request",,"2021-09-14","",0,0,0,1
168,"[log-shipper] Add user-authz role mappings for log-shipper CRD","CLOSED","gyrter","","enhancement","v1.26.0","2021-09-14","2021-09-23",1,0,0,2
169,"[upmeter] Limit agent serviceaccount to access only required resources","OPEN","shvgn","shvgn","enhancement",,"2021-09-14","",0,0,0,2
170,"[upmeter] Authenticate agent using client certificate","OPEN","shvgn","shvgn","enhancement",,"2021-09-14","",0,0,0,2
171,"[flant-integration] Madison proxy must be restarted after madisonAuthKey updates","CLOSED","konstantin-axenov","","bug",,"2021-09-14","2021-09-14",1,0,0,1
172,"[deckhouse-web] Crosslinks should be relative","CLOSED","z9r5","z9r5","enhancement","v1.26.0","2021-09-14","2021-09-14",1,0,0,1
173,"[web] Show supported K8s and Linux versions","CLOSED","z9r5","","enhancement",,"2021-09-14","2021-09-20",1,0,0,2
174,"Documentation of file location of Step 5 Bare Metal Installation","CLOSED","smilebasti","","",,"2021-09-14","",0,0,0,2
176,"Manage kernel install on bootstrap","OPEN","RomanenkoDenys","","enhancement",,"2021-09-15","",0,0,0,2
177,"[docs] Update the release process description","OPEN","z9r5","","refactoring",,"2021-09-15","",0,0,0,2
178,"Dashboard throughs only errors after installation and Unauthorized","OPEN","smilebasti","nabokihms","bug",,"2021-09-15","2021-09-16",6,0,0,2
179,"[linter][docs] Show more info in documentation linters","OPEN","z9r5","","enhancement",,"2021-09-15","",0,0,0,1
180,"[linter][docs] Check words on a block list","OPEN","z9r5","","enhancement",,"2021-09-15","",0,0,0,1
181,"[dhctl] Consider checking cloud quotas before beginning an installation procedure","OPEN","zuzzas","","feature-request",,"2021-09-16","2021-09-17",1,0,0,2
182,"Debug deckhouse controller","OPEN","zuzzas","","feature-request",,"2021-09-16","",0,0,0,1
183,"Local Helm tests do not work","OPEN","zuzzas","","bug",,"2021-09-16","",0,0,0,1
184,"[go_lib] implement general generate_admission_webhook_cert hook","OPEN","31337Ghost","","feature-request",,"2021-09-16","2021-09-16",1,0,0,3
185,"[deckhouse] Update mechanics","CLOSED","yalosev","yalosev","enhancement","v1.26.0","2021-09-16","",0,0,0,3
186,"[tests] Openapi case tests don't work with x-required-for-helm","OPEN","name212","","bug",,"2021-09-16","",0,0,0,1
187,"[deckhouse][helm] handle ""has no deployed releases"" helm error","OPEN","31337Ghost","","bug",,"2021-09-16","2021-09-20",1,1,0,3
188,"[istio] switching off istio module doesn't remove iop resource","OPEN","apolovov","","bug",,"2021-09-17","2021-11-19",1,0,0,3
189,"[user-authn] Protect wildcard domains with DexAuthenticator","CLOSED","EvgeniiAl","yalosev","bug","v1.26.0","2021-09-17","2021-09-28",2,0,0,3
190,"[monitoring][grafana] Need to add WebSocket dashboards.","OPEN","SpecialForce3331","","feature-request",,"2021-09-20","",0,4,0,6
191,"[docs] Documentation versioning","OPEN","z9r5","","",,"2021-09-20","",0,0,0,1
192,"[docs] Getting started for bare metal doesn't contain info how to apply files on the finishing installation step","CLOSED","z9r5","z9r5","","v1.26.0","2021-09-20","2021-09-21",1,0,0,1
193,"[ingress-nginx] HostPortWithFailover bug with failover controller","CLOSED","yalosev","","bug","v1.26.0","2021-09-21","2021-09-27",1,0,0,3
194,"[bashible] install registry packages fails, if registryDockerCFG in old format","OPEN","RomanenkoDenys","","bug",,"2021-09-21","",0,0,0,2
195,"[site] Generate sidebar menu  automatically","OPEN","z9r5","z9r5","enhancement",,"2021-09-21","",0,0,0,1
196,"Do not evict Pods with PVCs that have ""kubernetes.io/no-provisioner"" or other types of local provisioners ","OPEN","zuzzas","","feature-request",,"2021-09-22","",0,0,0,1
197,"[deckhouse][helm] handle ""another operation is in progress"" helm error","OPEN","31337Ghost","","bug",,"2021-09-22","",0,2,0,3
198,"[vertical-pod-autoscaler] Bump CRD version to v1","CLOSED","RomanenkoDenys","","enhancement",,"2021-09-22","2021-11-17",1,0,0,3
199,"[monitoring-kubernetes] Incorrect values in Grafana Main tables","OPEN","konstantin-axenov","","",,"2021-09-22","2021-10-19",1,0,0,3
200,"[cloud-provider-aws] csi-controller not reacts on AWSClusterConfiguration provider credentials change","OPEN","31337Ghost","","bug",,"2021-09-23","",0,2,0,4
201,"[pod-reloader] New module","CLOSED","nabokihms","gyrter","feature-request",,"2021-09-24","",0,0,0,2
203,"[cert-manager] Acme solver registry secret does not update if deckhouse registry was changed","CLOSED","name212","name212","bug","v1.26.0","2021-09-24","2021-09-28",1,0,0,3
204,"[user-authn] ingress limit-rpm leads to unclear IngressResponses5xx alerts","CLOSED","31337Ghost","31337Ghost","enhancement","v1.26.0","2021-09-24","2021-11-15",2,2,0,5
205,"change cri type for single-master installations","CLOSED","RomanenkoDenys","RomanenkoDenys","enhancement","v1.28.0","2021-09-24","2021-12-02",1,0,0,3
206,"[cni-cilium] New module","OPEN","konstantin-axenov","zuzzas","","v1.29.0","2021-09-27","",0,0,0,3
207,"Adding portainer to deckhouse installer","OPEN","balasu","","feature-request",,"2021-09-28","",0,0,0,2
210,"[grafana] Kubernetes Cluster / Control Plane Status panel dont work as expected","CLOSED","RomanenkoDenys","RomanenkoDenys","bug","v1.27.0","2021-09-28","2021-11-18",2,0,0,4
211,"[grafana] In Namespaces (perhaps, others from the same folder) dashboard, resource calculation in the top table is performed over whole time period","OPEN","zuzzas","","enhancement",,"2021-09-29","",0,2,0,4
212,"Bump Grafana version to 8.1.x","CLOSED","1001v","diafour","enhancement","v1.27.0","2021-09-29","2021-11-22",1,1,0,6
213,"[user-authn][kubeconfig-generator] Don't append server CA for public certificate providers","CLOSED","apolovov","","bug",,"2021-09-30","2021-10-19",2,1,0,3
214,"[node-manager][standby-holder] Holder is being deployed if minPerZone == maxPerZone","OPEN","apolovov","","bug",,"2021-09-30","2021-10-05",1,0,0,3
215,"[site] Add detailed comparison table of revisions","OPEN","z9r5","","enhancement",,"2021-10-01","",0,0,0,1
216,"[site][getting-started] Existing cluster","CLOSED","z9r5","","enhancement",,"2021-10-01","2021-11-09",1,1,0,3
217,"[bashible] ntp sync in all nodes","CLOSED","alexey-gavrilov-flant","RomanenkoDenys","enhancement","v1.27.0","2021-10-01","2021-11-18",3,11,0,15
218,"[aws] Consider using Load Balancer Controller","OPEN","zuzzas","","refactoring",,"2021-10-04","",0,0,0,2
219,"[Upmeter] Fix smoke-mini image on failing pods","OPEN","shvgn","","bug",,"2021-10-04","",0,0,0,2
220,"[user-authn] Do not use colons in DexClient ids","CLOSED","nabokihms","","bug","v1.27.0","2021-10-05","2021-11-15",1,0,0,3
221,"[deckhouse] in-cluster registry cache for deckhouse and control-plane images","OPEN","31337Ghost","","feature-request",,"2021-10-05","",0,0,0,2
222,"[node-manager] [standby-holder] implement calculation of the number of resources that standby-holder shouldn't hold","OPEN","31337Ghost","","enhancement",,"2021-10-05","2021-12-14",2,15,0,17
223,"Prometheus Kubernetes target discovery cache sometimes gets stale","OPEN","zuzzas","","bug",,"2021-10-06","",0,0,0,1
224,"node-local-dns and log-shipper modules have alerts that duplicate those found in the extended-monitoring","OPEN","zuzzas","","bug",,"2021-10-07","",0,0,0,1
225,"NodeGroup .spec.cri is not obvious","OPEN","yalosev","","bug",,"2021-10-07","",0,0,0,2
226,"cannot login to any dex-authed endpoints after cluster bootstrap","CLOSED","andycmaj","nabokihms","bug","v1.26.0","2021-10-07","2021-11-03",5,0,0,3
227,"[prometheus] HTTPS and FQDN support for additional alertmanager","CLOSED","alexeybobylev","yalosev","feature-request","v1.27.0","2021-10-08","2021-11-22",2,4,0,9
228,"Add ability to specify certManager credentials as Secrets","OPEN","a-morgunenko","","enhancement",,"2021-10-11","",0,0,0,2
229,"[node-manager] Add max surge parameter to NodeGroup spec","CLOSED","nabokihms","yalosev","feature-request","v1.27.0","2021-10-11","2021-11-18",1,0,0,3
230,"[deckhouse] consistent updates through versions","OPEN","31337Ghost","","enhancement",,"2021-10-12","2021-10-18",1,0,0,2
231,"[user-authz] ClusterAuthorizationRules validation webhook","OPEN","nabokihms","","enhancement",,"2021-10-14","",0,0,0,1
232,"Linux kernel 5.x support for CentOS 7","OPEN","mobilesfinks","","feature-request",,"2021-10-16","2021-10-17",1,0,0,2
233,"[cloud-provider- *] implement cloud quotas exporter","OPEN","31337Ghost","","enhancement",,"2021-10-18","",0,1,0,2
